CRIM,ZN,INDUS,LSTAT,NOX,RM,DIS,RAD,TAX
0.05602,0,2.46,4.45,0.488,7.831,3.1992,3,193
0.07875,45,3.44,6.68,0.437,6.782,3.7886,5,398
0.12579,45,3.44,4.56,0.437,6.556,4.5667,5,398
0.0837,45,3.44,5.39,0.437,7.185,4.5667,5,398
0.09068,45,3.44,5.1,0.437,6.951,6.4798,5,398
0.06911,45,3.44,4.69,0.437,6.739,6.4798,5,398
0.08664,45,3.44,2.87,0.437,7.178,6.4798,5,398
0.02187,60,2.93,5.03,0.401,6.8,6.2196,1,265
0.01439,60,2.93,4.38,0.401,6.604,6.2196,1,265
0.01381,80,0.46,2.97,0.422,7.875,5.6484,4,255
0.04011,80,1.52,4.08,0.404,7.287,7.309,2,329
0.04666,80,1.52,8.61,0.404,7.107,7.309,2,329
0.03768,80,1.52,6.62,0.404,7.274,7.309,2,329
0.0315,95,1.47,4.56,0.403,6.975,7.6534,3,402
0.01778,95,1.47,4.45,0.403,7.135,7.6534,3,402
0.03445,82.5,2.03,7.43,0.415,6.162,6.27,2,348
0.02177,82.5,2.03,3.11,0.415,7.61,6.27,2,348
0.0351,95,2.68,3.81,0.4161,7.853,5.118,4,224
0.02009,95,2.68,2.88,0.4161,8.034,5.118,4,224
0.13642,0,10.59,10.87,0.489,5.891,3.9454,4,277
0.22969,0,10.59,10.97,0.489,6.326,4.3549,4,277
0.25199,0,10.59,18.06,0.489,5.783,4.3549,4,277
0.13587,0,10.59,14.66,0.489,6.064,4.2392,4,277
0.43571,0,10.59,23.09,0.489,5.344,3.875,4,277
0.17446,0,10.59,17.27,0.489,5.96,3.8771,4,277
0.37578,0,10.59,23.98,0.489,5.404,3.665,4,277
0.21719,0,10.59,16.03,0.489,5.807,3.6526,4,277
0.14052,0,10.59,9.38,0.489,6.375,3.9454,4,277
0.28955,0,10.59,29.55,0.489,5.412,3.5875,4,277
0.19802,0,10.59,9.47,0.489,6.182,3.9454,4,277
0.0456,0,13.89,13.51,0.55,5.888,3.1121,5,276
0.07013,0,13.89,9.69,0.55,6.642,3.4211,5,276
0.11069,0,13.89,17.92,0.55,5.951,2.8893,5,276
0.11425,0,13.89,10.5,0.55,6.373,3.3633,5,276
0.35809,0,6.2,9.71,0.507,6.951,2.8617,8,307
0.40771,0,6.2,21.46,0.507,6.164,3.048,8,307
0.62356,0,6.2,9.93,0.507,6.879,3.2721,8,307
0.6147,0,6.2,7.6,0.507,6.618,3.2721,8,307
0.31533,0,6.2,4.14,0.504,8.266,2.8944,8,307
0.52693,0,6.2,4.63,0.504,8.725,2.8944,8,307
0.38214,0,6.2,3.13,0.504,8.04,3.2157,8,307
0.41238,0,6.2,6.36,0.504,7.163,3.2157,8,307
0.29819,0,6.2,3.92,0.504,7.686,3.3751,8,307
0.44178,0,6.2,3.76,0.504,6.552,3.3751,8,307
0.537,0,6.2,11.65,0.504,5.981,3.6715,8,307
0.46296,0,6.2,5.25,0.504,7.412,3.6715,8,307
0.57529,0,6.2,2.47,0.507,8.337,3.8384,8,307
0.33147,0,6.2,3.95,0.507,8.247,3.6519,8,307
0.44791,0,6.2,8.05,0.507,6.726,3.6519,8,307
0.33045,0,6.2,10.88,0.507,6.086,3.6519,8,307
0.52058,0,6.2,9.54,0.507,6.631,4.148,8,307
0.51183,0,6.2,4.73,0.507,7.358,4.148,8,307
0.08244,30,4.93,6.36,0.428,6.481,6.1899,6,300
0.09252,30,4.93,7.37,0.428,6.606,6.1899,6,300
0.11329,30,4.93,11.38,0.428,6.897,6.3361,6,300
0.10612,30,4.93,12.4,0.428,6.095,6.3361,6,300
0.1029,30,4.93,11.22,0.428,6.358,7.0355,6,300
0.12757,30,4.93,5.19,0.428,6.393,7.0355,6,300
0.20608,22,5.86,12.5,0.431,5.593,7.9549,7,330
0.19133,22,5.86,18.46,0.431,5.605,7.9549,7,330
0.33983,22,5.86,9.16,0.431,6.108,8.0555,7,330
0.19657,22,5.86,10.15,0.431,6.226,8.0555,7,330
0.16439,22,5.86,9.52,0.431,6.433,7.8265,7,330
0.19073,22,5.86,6.56,0.431,6.718,7.8265,7,330
0.1403,22,5.86,5.9,0.431,6.487,7.3967,7,330
0.21409,22,5.86,3.59,0.431,6.438,7.3967,7,330
0.08221,22,5.86,3.53,0.431,6.957,8.9067,7,330
0.36894,22,5.86,3.54,0.431,8.259,8.9067,7,330
0.04819,80,3.64,6.57,0.392,6.108,9.2203,1,315
0.03548,80,3.64,9.25,0.392,5.876,9.2203,1,315
0.01538,90,3.75,3.11,0.394,7.454,6.3361,3,244
0.61154,20,3.97,5.12,0.647,8.704,1.801,5,264
0.66351,20,3.97,7.79,0.647,7.333,1.8946,5,264
0.65665,20,3.97,6.9,0.647,6.842,2.0107,5,264
0.54011,20,3.97,9.59,0.647,7.203,2.1121,5,264
0.53412,20,3.97,7.26,0.647,7.52,2.1398,5,264
0.52014,20,3.97,5.91,0.647,8.398,2.2885,5,264
0.82526,20,3.97,11.25,0.647,7.327,2.0788,5,264
0.55007,20,3.97,8.1,0.647,7.206,1.9301,5,264
0.76162,20,3.97,10.45,0.647,5.56,1.9865,5,264
0.7857,20,3.97,14.79,0.647,7.014,2.1329,5,264
0.57834,20,3.97,7.44,0.575,8.297,2.4216,5,264
0.5405,20,3.97,3.16,0.575,7.47,2.872,5,264
0.09065,20,6.96,13.65,0.464,5.92,3.9175,3,223
0.29916,20,6.96,13,0.464,5.856,4.429,3,223
0.16211,20,6.96,6.59,0.464,6.24,4.429,3,223
0.1146,20,6.96,7.73,0.464,6.538,3.9175,3,223
0.22188,20,6.96,6.58,0.464,7.691,4.3665,3,223
0.05644,40,6.41,3.53,0.447,6.758,4.0776,4,254
0.09604,40,6.41,2.98,0.447,6.854,4.2673,4,254
0.10469,40,6.41,6.05,0.447,7.267,4.7872,4,254
0.06127,40,6.41,4.16,0.447,6.826,4.8628,4,254
0.07978,40,6.41,7.19,0.447,6.482,4.1403,4,254
0.21038,20,3.33,4.85,0.4429,6.812,4.1007,5,216
0.03578,20,3.33,3.76,0.4429,7.82,4.6947,5,216
0.03705,20,3.33,4.59,0.4429,6.968,5.2447,5,216
0.06129,20,3.33,3.01,0.4429,7.645,5.2119,5,216
0.01501,90,1.21,3.16,0.401,7.923,5.885,1,198
0.00906,90,2.97,7.85,0.4,7.088,7.3073,1,285
0.01096,55,2.25,8.23,0.389,6.453,7.3073,1,300
0.01965,80,1.76,12.93,0.385,6.23,9.0892,1,241
0.03871,52.5,5.32,7.14,0.405,6.209,7.3172,6,293
0.0459,52.5,5.32,7.6,0.405,6.315,7.3172,6,293
0.04297,52.5,5.32,9.51,0.405,6.565,7.3172,6,293
0.03502,80,4.95,3.33,0.411,6.861,5.1167,4,245
0.07886,80,4.95,3.56,0.411,7.148,5.1167,4,245
0.03615,80,4.95,4.7,0.411,6.63,5.1167,4,245
0.08265,0,13.92,8.58,0.437,6.127,5.5027,4,289
0.08199,0,13.92,10.4,0.437,6.009,5.5027,4,289
0.12932,0,13.92,6.27,0.437,6.678,5.9604,4,289
0.05372,0,13.92,7.39,0.437,6.549,5.9604,4,289
0.14103,0,13.92,15.84,0.437,5.79,6.32,4,289
0.06466,70,2.24,4.97,0.4,6.345,7.8278,5,358
0.05561,70,2.24,4.74,0.4,7.041,7.8278,5,358
0.04417,70,2.24,6.07,0.4,6.871,7.8278,5,358
0.03537,34,6.09,9.5,0.433,6.59,5.4917,7,329
0.09266,34,6.09,8.67,0.433,6.495,5.4917,7,329
0.1,34,6.09,4.86,0.433,6.982,5.4917,7,329
0.05515,33,2.18,6.93,0.472,7.236,4.022,7,222
0.05479,33,2.18,8.93,0.472,6.616,3.37,7,222
0.07503,33,2.18,6.47,0.472,7.42,3.0992,7,222
0.04932,33,2.18,7.53,0.472,6.849,3.1827,7,222
0.49298,0,9.9,4.54,0.544,6.635,3.3175,4,304
0.3494,0,9.9,9.97,0.544,5.972,3.1025,4,304
2.63548,0,9.9,12.64,0.544,4.973,2.5194,4,304
0.79041,0,9.9,5.98,0.544,6.122,2.6403,4,304
0.26169,0,9.9,11.72,0.544,6.023,2.834,4,304
0.26938,0,9.9,7.9,0.544,6.266,3.2628,4,304
0.3692,0,9.9,9.28,0.544,6.567,3.6023,4,304
0.25356,0,9.9,11.5,0.544,5.705,3.945,4,304
0.31827,0,9.9,18.33,0.544,5.914,3.9986,4,304
0.24522,0,9.9,15.94,0.544,5.782,4.0317,4,304
0.40202,0,9.9,10.36,0.544,6.382,3.5325,4,304
0.47547,0,9.9,12.73,0.544,6.113,4.0019,4,304
0.1676,0,7.38,7.2,0.493,6.426,4.5404,5,287
0.18159,0,7.38,6.87,0.493,6.376,4.5404,5,287
0.35114,0,7.38,7.7,0.493,6.041,4.7211,5,287
0.28392,0,7.38,11.74,0.493,5.708,4.7211,5,287
0.34109,0,7.38,6.12,0.493,6.415,4.7211,5,287
0.19186,0,7.38,5.08,0.493,6.431,5.4159,5,287
0.30347,0,7.38,6.15,0.493,6.312,5.4159,5,287
0.24103,0,7.38,12.79,0.493,6.083,5.4159,5,287
0.06617,0,3.24,9.97,0.46,5.868,5.2146,4,430
0.06724,0,3.24,7.34,0.46,6.333,5.2146,4,430
0.04544,0,3.24,9.09,0.46,6.144,5.8736,4,430
0.05023,35,6.06,12.43,0.4379,5.706,6.6407,1,304
0.03466,35,6.06,7.83,0.4379,6.031,6.6407,1,304
0.05083,0,5.19,5.68,0.515,6.316,6.4584,5,224
0.03738,0,5.19,6.75,0.515,6.31,6.4584,5,224
0.03961,0,5.19,8.01,0.515,6.037,5.9853,5,224
0.03427,0,5.19,9.8,0.515,5.869,5.2311,5,224
0.03041,0,5.19,10.56,0.515,5.895,5.615,5,224
0.03306,0,5.19,8.51,0.515,6.059,4.8122,5,224
0.05497,0,5.19,9.74,0.515,5.985,4.8122,5,224
0.06151,0,5.19,9.29,0.515,5.968,4.8122,5,224
0.01301,35,1.52,5.49,0.442,7.241,7.0379,1,284
0.02498,0,1.89,8.65,0.518,6.54,6.2669,1,422
0.02543,55,3.78,7.18,0.484,6.696,5.7321,5,370
0.03049,55,3.78,4.61,0.484,6.874,6.4654,5,370
0.03113,0,4.39,10.53,0.442,6.014,8.0136,3,352
0.06162,0,4.39,12.67,0.442,5.898,8.0136,3,352
0.0187,85,4.15,6.36,0.429,6.516,8.5353,4,351
0.01501,80,2.01,5.99,0.435,6.635,8.344,4,280
0.02899,40,1.25,5.89,0.429,6.939,8.7921,1,335
0.06211,40,1.25,5.98,0.429,6.49,8.7921,1,335
0.0795,60,1.69,5.49,0.411,6.579,10.7103,4,411
0.07244,60,1.69,7.79,0.411,5.884,10.7103,4,411
0.01709,90,2.02,4.5,0.41,6.728,12.1265,5,187
0.04301,80,1.91,8.05,0.413,5.663,10.5857,4,334
0.10659,80,1.91,5.57,0.413,5.936,10.5857,4,334
8.98296,0,18.1,17.6,0.77,6.212,2.1222,24,666
3.8497,0,18.1,13.27,0.77,6.395,2.5052,24,666
5.20177,0,18.1,11.48,0.77,6.127,2.7227,24,666
4.26131,0,18.1,12.67,0.77,6.112,2.5091,24,666
4.54192,0,18.1,7.79,0.77,6.398,2.5182,24,666
3.83684,0,18.1,14.19,0.77,6.251,2.2955,24,666
3.67822,0,18.1,10.19,0.77,5.362,2.1036,24,666
4.22239,0,18.1,14.64,0.77,5.803,1.9047,24,666
3.47428,0,18.1,5.29,0.718,8.78,1.9047,24,666
4.55587,0,18.1,7.12,0.718,3.561,1.6132,24,666
3.69695,0,18.1,14,0.718,4.963,1.7523,24,666
13.5222,0,18.1,13.33,0.631,3.863,1.5106,24,666
4.89822,0,18.1,3.26,0.631,4.97,1.3325,24,666
5.66998,0,18.1,3.73,0.631,6.683,1.3567,24,666
6.53876,0,18.1,2.96,0.631,7.016,1.2024,24,666
9.2323,0,18.1,9.53,0.631,6.216,1.1691,24,666
8.26725,0,18.1,8.88,0.668,5.875,1.1296,24,666
11.1081,0,18.1,34.77,0.668,4.906,1.1742,24,666
18.4982,0,18.1,37.97,0.668,4.138,1.137,24,666
19.6091,0,18.1,13.44,0.671,7.313,1.3163,24,666
15.288,0,18.1,23.24,0.671,6.649,1.3449,24,666
9.82349,0,18.1,21.24,0.671,6.794,1.358,24,666
23.6482,0,18.1,23.69,0.671,6.38,1.3861,24,666
17.8667,0,18.1,21.78,0.671,6.223,1.3861,24,666
88.9762,0,18.1,17.21,0.671,6.968,1.4165,24,666
15.8744,0,18.1,21.08,0.671,6.545,1.5192,24,666
9.18702,0,18.1,23.6,0.7,5.536,1.5804,24,666
7.99248,0,18.1,24.56,0.7,5.52,1.5331,24,666
20.0849,0,18.1,30.63,0.7,4.368,1.4395,24,666
16.8118,0,18.1,30.81,0.7,5.277,1.4261,24,666
24.3938,0,18.1,28.28,0.7,4.652,1.4672,24,666
22.5971,0,18.1,31.99,0.7,5,1.5184,24,666
14.3337,0,18.1,30.62,0.7,4.88,1.5895,24,666
8.15174,0,18.1,20.85,0.7,5.39,1.7281,24,666
6.96215,0,18.1,17.11,0.7,5.713,1.9265,24,666
5.29305,0,18.1,18.76,0.7,6.051,2.1678,24,666
11.5779,0,18.1,25.68,0.7,5.036,1.77,24,666
8.64476,0,18.1,15.17,0.693,6.193,1.7912,24,666
13.3598,0,18.1,16.35,0.693,5.887,1.7821,24,666
8.71675,0,18.1,17.12,0.693,6.471,1.7257,24,666
5.87205,0,18.1,19.37,0.693,6.405,1.6768,24,666
7.67202,0,18.1,19.92,0.693,5.747,1.6334,24,666
38.3518,0,18.1,30.59,0.693,5.453,1.4896,24,666
9.91655,0,18.1,29.97,0.693,5.852,1.5004,24,666
25.0461,0,18.1,26.77,0.693,5.987,1.5888,24,666
14.2362,0,18.1,20.32,0.693,6.343,1.5741,24,666
9.59571,0,18.1,20.31,0.693,6.404,1.639,24,666
24.8017,0,18.1,19.77,0.693,5.349,1.7028,24,666
41.5292,0,18.1,27.38,0.693,5.531,1.6074,24,666
67.9208,0,18.1,22.98,0.693,5.683,1.4254,24,666
20.7162,0,18.1,23.34,0.659,4.138,1.1781,24,666
11.9511,0,18.1,12.13,0.659,5.608,1.2852,24,666
7.40389,0,18.1,26.4,0.597,5.617,1.4547,24,666
14.4383,0,18.1,19.78,0.597,6.852,1.4655,24,666
51.1358,0,18.1,10.11,0.597,5.757,1.413,24,666
14.0507,0,18.1,21.22,0.597,6.657,1.5275,24,666
18.811,0,18.1,34.37,0.597,4.628,1.5539,24,666
28.6558,0,18.1,20.08,0.597,5.155,1.5894,24,666
45.7461,0,18.1,36.98,0.693,4.519,1.6582,24,666
18.0846,0,18.1,29.05,0.679,6.434,1.8347,24,666
10.8342,0,18.1,25.79,0.679,6.782,1.8195,24,666
25.9406,0,18.1,26.64,0.679,5.304,1.6475,24,666
73.5341,0,18.1,20.62,0.679,5.957,1.8026,24,666
11.8123,0,18.1,22.74,0.718,6.824,1.794,24,666
11.0874,0,18.1,15.02,0.718,6.411,1.8589,24,666
7.02259,0,18.1,15.7,0.718,6.006,1.8746,24,666
12.0482,0,18.1,14.1,0.614,5.648,1.9512,24,666
7.05042,0,18.1,23.29,0.614,6.103,2.0218,24,666
8.79212,0,18.1,17.16,0.584,5.565,2.0635,24,666
15.8603,0,18.1,24.39,0.679,5.896,1.9096,24,666
12.2472,0,18.1,15.69,0.584,5.837,1.9976,24,666
37.6619,0,18.1,14.52,0.679,6.202,1.8629,24,666
7.36711,0,18.1,21.52,0.679,6.193,1.9356,24,666
9.33889,0,18.1,24.08,0.679,6.38,1.9682,24,666
8.49213,0,18.1,17.64,0.584,6.348,2.0527,24,666
10.0623,0,18.1,19.69,0.584,6.833,2.0882,24,666
6.44405,0,18.1,12.03,0.584,6.425,2.2004,24,666
5.58107,0,18.1,16.22,0.713,6.436,2.3158,24,666
13.9134,0,18.1,15.17,0.713,6.208,2.2222,24,666
